k,Rayyan ID,Title,Year,Species (Latin),Species (English),Genetic line (if applicable),Order,Family,Recording location,Group context,Juveniles present?,Number of animals,Number of vocalizations (total recorded),Number of vocalizations (included in analysis),Call classification,Full repertoire analysed?,"Repertoire size (hand, total)","Repertoire size (hand, juvenile) - indicate how many calls of total repertoire are juvenile ",Repertoire size (automated),Graded vs discrete (do authors mention reportoire is graded?),Data availability,Notes,Preselected non-noisy calls,Spectrogram type,FFT size,Window type,Overlap (%),Bandpass filtered,High pass freq threshold,Low pass freq threshold ,Notes (preprocess),Package,Number of features,Multi-unit calls?,Characteristics general,Syllables/units,Repeated measurements at multiple locations in call?,PRAAT measures,AvisoftSAS Lab Pro measurements,Raven Pro measurements,warblR measurements,Custom features,Custom measurement of:,Notes call features,Language,"Analysis methods (only mark when used for analysis, so e.g. don't mark UMAP if it's ONLY used for visualization)",Analysis based on:,Notes analysis,Open access,License
21/12/2025 11:18:18,rayyan-380414649,Classification of communication signals of the little brown bat,2006,Myotis lucifugus,little brown bat,,Chiroptera,Vespertilionidae,lab,"group, solitary",No,,,3925,"Hand, Automated",Yes,5,,,No,No,,no,,1024,Hamming,,,,,,MATLAB; Batsound Pro,5,,duration,,,,,,,"maximum frequency, maximum time, minimum frequency, minimum time, center
frequency, center time, duration, kurtosis (freq), kurtosis (time), skew (freq), skew (time), spread (freq), spread (time), standard deviation (freq), and standard deviation (time)",,,MATLAB,"PCA, Classification and regression tree analysis (CART)",features,,No,
04/12/2025 21:57:48,rayyan-380414650,The communicative life of a social carnivore: acoustic repertoire of the ring-tailed coati (Nasua nasua),2019,Nasua nasua,ring-tailed coati,,Carnivora,Procyonidae,lab,group,Yes,54,,,Hand,Yes,15,3,,No,No,,,,512,Hamming,80.1,,,,different settings for high and low freq calls,Raven Pro,8,Some,duration,inter unit interval,,,,,,start freq; max F0; min F0; end freq; bandwidth; high freq  ,F0,,N/A,,,no furthe ranalysis,No,
16/12/2025 14:46:38,rayyan-380414651,The Complex Vocal Repertoire of the Adult Cotton-top Tamarin (Saguinus oedipus oedipus)),1982,Saguinus oedipus oedipus,cotton-top tamarin,,Primates,Callitrichidae,lab,group,Yes,11,,,Hand,Yes,38,,,No,Upon request," An audiotape of the vocalizations is available on loan from the Library of the Wisconsin Regional Primate Research Center, Madison",no,,,,,,,,,Kay Sona-Graph,,Some,duration,"number of units, unit range (units/s)",,,,,,start freq; max freq; end freq; max- end freq; time leveling; freq at leveling; min freq;,,features dependent on call type,N/A,,,,No,
01/12/2025 17:39:12,rayyan-380414652,"Acoustic Communication in the Rock Hyrax, Procavia capensis",1977,Procavia capensis,rock hyrax,,Hyracoidea,Procaviidae,lab,group,Yes,,,,Hand,Yes,21,1,,Yes,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
12/01/2026 18:00:42,rayyan-380414658,Ultrasonic Vocalizations of Male Mice Differ among Species and Females Show Assortative Preferences for Male Calls,2015,Mus musculus,mouse,"musculus and domesticus subspecies, as well as hybrids",Rodentia,Muridae,lab,solitary,No,,,,Hand,No,7,,,No,"Yes, preprocessed","number per group unclear, as N=66 for everything together, but then in the 100s for some subspecies",,,512,Flattop,50,,,,,Avisoft-SASLab Pro,6,No,duration,,,,,,,PF start; PF end; min F start; max F start; min F end; max F end; PF center; min F center; max F center; pf max; min F max; max F max; AMP start; AMP center; AMP end; AMP max; bandwidth start; bandwidth; center; bandwidth end; bandwidth max; entropy start; entropy center; entropy end; entropy max,"peak frequency, amplitude",Reduced to 5 PF + duration,N/A,,,"DFA on species, but not type",Yes,rnational
14/12/2025 11:37:58,rayyan-380414668,"Vocalization in the guinea-pig, Cavia porcellus L.",1974,Cavia porcellus,guinea pig,,Rodentia,Caviidae,lab,"group, solitary",Yes,,,,Hand,Yes,12,,,No,No,,,,,,,,,,,Kay Sona-Graph,5,Some,duration,"unit duration, number of units, unit range (units/s)",,,,,,fundamental range,F0,,N/A,,,,No,
05/12/2025 22:55:41,rayyan-380414679,Mouse vocal emission and acoustic complexity do not scale linearly with the size of a social group,2021,Mus musculus,mouse,B6,Rodentia,Muridae,lab,"group, solitary",No,98,46649,31674,Automated,Yes,,,26,No,No,,yes,,64; 128; 256,,,,,,,not reported,,,,,,,,,,frequency jump; inflection,,,not reported,K-means clustering,spectrogram,repeated K-means clustering with elbow method,Yes,
12/01/2026 21:10:58,rayyan-380414692,Tolerant and intolerant macaques show different levels of structural complexity in their vocal communication,2020,Macaca fuscata,Japanese macaque,,Primates,Cercopithecidae,lab,group,,24,1368,434,Automated,Yes,,,,Yes,"Yes, preprocessed",,yes,,256,Hanning/Hann,,,,,,Raven Pro,7,No,duration,,,,,"aggregate entropy, average entropy, center frequency, 1st quartile frequency, 3rd quartile frequency, center time",,,,,R,Gaussian mixture models,features,,Yes,CC-BY
09/12/2025 22:03:34,rayyan-380414698,Honest signaling in mouse lemur vocalizations?,2022,Microcebus murinus,gray mouse lemur,,Primates,Cheirogaleidae,lab,solitary,No,25,,1098,Hand,No,,,,No,Upon request,,yes,,1024,Hanning/Hann,93.75,,,,,LMA,10,Some,duration,,1st and 2nd unit,,,,,freq bandwidth; 25% freq; 50% freq; 75% freq; mean 2nd dominant freq; mean peak freq; % noise; mean F0,"F0, peak frequency",,N/A,,,,Yes,CC BY 4.0
10/12/2025 17:22:42,rayyan-380414703,Catalogue of sounds of the pigtailed macaque (Macaca nemestrina),1967,Macaca nemestrina,pigtailed macaque,,Primates,Cercopithecidae,lab,"group, solitary",Yes,35,,,Hand,Yes,29,6,,No,No,,yes,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
14/12/2025 23:13:00,rayyan-380414705,Vocalizations and their behavioral contexts in the tamarin Saguinus fuscicollis,1976,Saguinus fuscicollis,saddle-back tamarin,,Primates,Callitrichidae,lab,group,Yes,9,,,Hand,Yes,30,5,,No,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
14/12/2025 12:17:25,rayyan-380414706,The vocalizations of pygmy marmosets (Cebuella pygmaea),1975,Cebuella pygmaea,pygmy marmoset,,Primates,Callitrichidae,lab,"group, solitary",Yes,13,,,Hand,Yes,12,,,Yes,No,,,,,,,,,,,Kay Sona-Graph,5,Some,duration,"number of units, unit range (units/s)",,,,,,max freq; min freq,,,N/A,,,,No,
20/12/2025 03:26:30,rayyan-380414708,The vocal repertoire of the adult Senegal bushbaby (Galago senegalensis senegalensis),1985,Galago senegalensis,Senegal bushbaby,,Primates,Galagidae,lab,"group, solitary",No,12,,873,Hand,Yes,18,,,Yes,No,,,,,,,,,,,Ubiquitous real time spectrogram analyzer,4,Some,duration,inter unit interval,,,,,,F0 range; number of harmonics,F0,,N/A,,,,No,
20/12/2025 02:49:20,rayyan-380414711,Vocalizations of Australian hopping mice (Rodentia: Notomys),1975,Notomys alexis,spinifex hopping mouse,,Rodentia,Muridae,lab,group,Yes,,,,Hand,Yes,8,3,,No,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
16/12/2025 13:21:09,rayyan-380414713,Single‐note vocalizations of California ground squirrels: Graded signals and situation‐specificity of predator and socially evoked calls,1980,Otospermophilus beecheyi,California ground squirrel,,Rodentia, Sciuridae,lab,group,Unknown,,,112,Automated,No,3,,,Yes,No,only alarm call,yes,,,,,Yes,,,,Kay Sona-Graph,6,No,duration,,,,,,,duration second harmonic; ratio duration seconic harmonic/duration first harmonic; F0; F0 bandwidth; F2 frequency modulation,"F0, formants",,not reported,DFA,features,,No,
03/01/2026 12:51:23,rayyan-380414725,Ultrasonic Songs of Male Mice,2005,Mus musculus,mouse,B6D2F1,Rodentia,Muridae,lab,solitary,No,,,750,Hand,No,8,,,Yes,No,,no,,512,,50,Yes,25000,110000,,MATLAB,3,No,,,,,,,,"mean frequency; the “spectral purity” (fraction of total power concentrated into a single frequency bin); “spectral discontinuity,”",,,not reported,Multidimensional Scaling,features,,Yes,CC-BY-4.0
12/01/2026 20:49:52,rayyan-380414727,MUPET—Mouse Ultrasonic Profile ExTraction: A Signal Processing Tool for Rapid and Unsupervised Analysis of Ultrasonic Vocalizations,2017,Mus musculus,mouse,"BXD GRP—the C57BL/6 (C57) and DBA/2 (DBA) parental strains, the F1 cross (B6D2F1), and nine RI offspring strains",Rodentia,Muridae,lab,group,Yes,,,,Automated,Yes,,,,No,No,Only subset of data available,no,,512,Hamming,75,,,, short-term Fourier transform (STFT) algorithm with an analysis window of 2 ms that was shifted every 1.6 ms and then normalized to unit energy to prevent the decomposition process from being dominated by high-energy syllables.,MUPET,,,,,,,,,,,,GF-USV feature representation,MUPET,K-means clustering,spectrogram,Based on GF-USV representation of spectrogram,Yes,Elsevier user license
15/01/2026 15:03:48,rayyan-380414747,"Vocalisations of adult Northern Quolls, Dasyurus hallucatus.",1994,Dasyurus hallucatus,northern quoll,,Dasyuromorphia,Dasyuridae,lab,group,,13,,488,Hand,Yes,4,,,No,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
06/01/2026 17:04:39,rayyan-380414750,Use of Vocal Fingerprinting for Specific Discrimination of Gray (Microcebus murinus) and Rufous Mouse Lemurs (Microcebus rufus),2000,Microcebus murinus,gray mouse lemur,,Primates,Cheirogaleidae,lab,group,Unknown,16,,,Hand,No,4,,,Yes,No,,no,,256,Hamming,50,,,,,Avisoft SASlab Pro,19,Some,duration,"unit duration, inter unit interval, number of units",for both units in chirps,,"min frequency, max frequency",,,F0 start; F0 end; F0 max/F0 min; F0 end/F0 start; modulation rate; average start freq of first 7 modulation; average endfreq of first 7 modulation; average bandwidth of first 7 modulation,F0,,N/A,,,,No,
04/12/2025 16:51:38,rayyan-380414758,The vocal repertoire of adult tree shrews (Tupaia belangeri),1989,Tupaia belangeri,treeshrew,,Scandentia,Tupaiidae,lab,group,No,9,,424,Hand,Yes,8,,,Yes,No,,,,,,,,,,,Ubiquitous Real Time Spectrum Analyser,4,Some,duration,inter unit interval,,,,,,F0; number of harmonics,F0,,N/A,,,,No,
05/01/2026 11:04:10,rayyan-380414768,Vocal repertoire of captive northern and southern flying squirrels (Glaucomys sabrinus and G. volans),2019,Glaucomys sabrinus,northern flying squirrel,,Rodentia,Sciuridae,lab,group,Unknown,17,897,815,Hand,Yes,10,,,No,No,,yes,,512,Hanning/Hann,50,,,,,Raven Pro,6,No,duration,,,,,"average entropy, max/peak frequency",,bandwidth; min F0; max F0,F0,,N/A,,,,No,
12/11/2025 16:59:50,rayyan-380414776,40-and 70-kHz vocalizations of mice (Mus musculus) during copulation,1998,Mus musculus,Mouse,C57B1 × AkR/J,Rodentia,Muridae,lab,group,No,10,,247,Hand,No,2,,,No,No,,yes,,,,,,,,nothing reported,not reported,2,No,duration,,,,,,,freq; bandwidth; relative dB,amplitude,,N/A,,,no further analysis,No,
15/01/2026 10:46:21,rayyan-380414782,Audible signals during intolerant behaviour of Rattus fuscipes,1975,Rattus fuscipes,Australian bush rat,,Rodentia,Muridae,lab,group,No,,,350,Hand,No,5,,,No,No,,no,,,,,,,,,Kay Sona-Graph,,,duration,,,,,,,mean F0,F0,,N/A,,,,No,
06/01/2026 11:21:31,rayyan-380414783,"Stereotypic vocalizations in harvest mice (Reithrodontomys): harmonic structure contains prominent and distinctive audible, ultrasonic, and non-linear elements",2010,Reithrodontomys mexicanus,harvest mice,,Rodentia,Cricetidae,lab,group,No,25,,266,Hand,No,5,,,No,No,,yes,,512; 1024,Hamming; Blackmann,70,,,,,Raven Pro,6,Some,duration,number of units,,,,,,min freq; max freq; peak freq; freq bandwidth,peak frequency,,not reported,PCA,features,,No,
22/12/2025 21:04:10,rayyan-380414796,"Estrous calls in captive Asian chipmunks, Tamias sibiricus",1992,Tamias sibiricus,Asian chipmunk,,Rodentia,Sciuridae,lab,"group, solitary",No,3,,200,Hand,No,3,,,No,No,,no,,,,,,,,,Kay Sona-Graph,3,All,duration,unit range (units/s),,,,,,F0,F0,,N/A,,,,No,
10/01/2026 20:20:10,rayyan-380414805,Comparison of vocalizations between and within Spermophilus elegans elegans and S. richardsonii,1987,Urocitellus elegans,Wyoming ground squirrel,,Rodentia,Sciuridae,lab,solitary,No,,,,Hand,No,5,,,No,No,,yes,,,,,,,,,Kay Sonagraph,9,Some,duration,"unit duration, inter unit interval, number of units",,,,,,freq start; freq end; number of harmonics; F1 start; F1 end,,,SPSS,DFA,features,,No,
28/12/2025 22:04:54,rayyan-380414590,Vocal communication of Tonkean macaques in confined environments,1993,Macaca tonkeana,Tonkean macaque,,Primates,Cercopithecidae,"lab, zoo",group,Yes,28,,576,Hand,Yes,20,1,,Yes,No,,no,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
17/08/2025 21:27:49,rayyan-305067161,Airborne vocal communication in adult neotropical otters (Lontra longicaudis).,2021,Lontra longicaudis,neotropical otter,,Carnivora,Mustelidae,zoo,group,No,6,,422,Hand,Yes,6,,,No,"Yes, preprocessed",,yes,,,,,Yes,,,Variable per call type,Praat,12,Some,duration,,,"mean F0, max F0, min F0, range F0, peak frequency, start f0, end f0, std f0, midpoint f0, f0 slope start to mid, f0 slope mid to end",,,,,,"proportion chaos, proportion subharmonics, proportion biphonation for subset of calls - visually identified",R,PCA,features,,Yes,CC BY 4.0
10/10/2025 17:51:42,rayyan-305067259,"The acoustic repertoire and behavioural context of the vocalisations of a nocturnal dasyurid, the eastern quoll (Dasyurus viverrinus).",2017,Dasyurus viverrinus,eastern quoll,,Dasyuromorphia,Dasyuridae,zoo,group,No,15,,5242,Hand,Yes,5,,,No,"Yes, preprocessed",,yes,,2400,Gaussian,,Highpass,75,,,Praat,10,Some,duration,,,"mean F0, max F0, min F0, range F0, Q50, F0 std; jitter; shimmer; NHR",,,,,,,R,Hierarchical clustering,features,,Yes,CC BY 4.0
13/10/2025 13:33:36,rayyan-305067312,A novel theory of Asian elephant high-frequency squeak production.,2021,Elephas maximus,Asian elephant,,Proboscidea,Elephantidae,zoo,group,Yes,56,,213,Automated,No,,,,Yes,Upon request,Number of classes the same as number of individuals,,,,,,,,,nothing reported,"STx, Praat, MATLAB",22,No,duration,,Each 3rd,"mean F0, max F0, min F0, range F0, Q50, start f0, end f0, middle f0",,,,max F0/mean F0; mean F0/min F0; time max F0; time min F0; F0 slope (each third); time min F0 to max F0; jitter; Frequency variability index; Inflections; Coefficient of Frequency Modulatio,F0,,R,K-means clustering,features,,Yes,CC BY 4.0
14/10/2025 21:50:01,rayyan-305067419,Acoustic Structure and Contextual Use of Calls by Captive Male and Female Cheetahs (Acinonyx jubatus).,2016,Acinonyx jubatus,cheetah,,Carnivora, Felidae,zoo,group,Unknown,13,,8120,Hand,Yes,7,,,No,"Yes, preprocessed",,yes,,1024,Hamming,93.75,No,,,,Avisoft-SASLab Pro,10,Some,duration,number of units,,,"peak frequency, Q25, Q50, Q75",,,F0 start; F0 end; F0 min; F0 max,F0,,"STATISTICA, R",DFA,features,,Yes,CC BY 4.0
29/10/2025 23:13:35,rayyan-305067580,"Early life experience and sex influence acoustic repertoire use in wild-born, but hand-reared, captive cheetahs (Acinonyx jubatus).",2022,Acinonyx jubatus,cheetah,,Carnivora,Felidae,zoo,group,No,12,3297,2656,Hand,Yes,12,,,Yes,No,+4 non-vocal types,,,256,Hanning/Hann,,,,,,N/A,,Some,,,,,,,,,,,N/A,,,,No,
02/11/2025 20:36:14,rayyan-305067731,"In-air vocal repertoires of spotted seals, Phoca largha.",2016,Phoca largha,spotted seal,,Carnivora,Phocidae,zoo,group,Yes,55,,679,Hand,Yes,7,2,,No,No,,yes,,1024,Hamming,50,,,,,MATLAB,9,No,duration,,,,,,,Peak freq; second peak freq; third peak freq; F0; highest freq; bandwidth; number of harmonics; Peak-to-peak source level,"F0, peak frequency, formants",,N/A,,,No further analysis,No,
05/11/2025 23:06:27,rayyan-305067748,"Improving the workflow to crack Small, Unbalanced, Noisy, but Genuine (SUNG) datasets in bioacoustics: The case of bonobo calls.",2023,Pan paniscus,bonobo,,Primates,Hominidae,zoo,group,No,20,,1971,Hand,No,10,,,Yes,"Yes, preprocessed",,no,,512,Hamming,50,No,,,,Praat; voicebox toolbox in Matlab,217,,,,,"max F0, Q25, Q50, Q75, q1t, q2t, q3t, t.max, f0.sta, f0.mid, f0.end, f0.av, f0.max, tf0.max, f0.slope.asc, f0.slope.desc, f0.slope.1st.half, f0.slope.2nd.half, f0.onset, f0.offset",,,,Discrete Cosine Transform of F0 (7); MFCC set (192) ,F0,,R,"DFA, UMAP, SVM; xgboost; NN",features,Supervised UMAP,Yes,CC BY 4.0
21/10/2025 21:06:55,rayyan-305067789,Acoustic and behavioral repertoires of the hippopotamus (Hippopotamus amphibius).,2015,Hippopotamus amphibius,hippopotamus,,Artiodactyla,Hippopotamidae,zoo,group,No,16,1452,1127,Hand,,10,,,Yes,No,"3 classes, 10 total types",yes,,2048,Hanning/Hann,90,,,,,Raven,7,Some,duration,inter unit interval,,,,,,min freq; max freq; bandwidth; peak freq; F0,"F0, peak frequency",,SPSS,"DFA, PCA",features,,No,
19/12/2025 20:34:14,rayyan-380414575,Vocal behavior of captive Sichuan golden monkeys (Rhinopithecus r. roxellana),1988,Rhinopithecus roxellana,Sichuan golden monkey,,Primates,Cercopithecidae,zoo,group,No,8,,1578,Hand,Yes,4,,,Yes,No,one 'other' class,,,,,,,,,,N/A,,,,,,,,,,,,no further analysis,N/A,,,no further analysis,No,
03/01/2026 22:45:02,rayyan-380414576,The vocal repertoire of Barbary macaques: a quantitative analysis of a graded signal system,1998,Macaca sylvanus,Barbary macaque,,Primates,Cercopithecidae,zoo,group,Yes,92,,8479,Automated,Yes,,,,Yes,No,no clear cluster solution,,,1024,,,,,,,LMA,35,,duration,,,,,,,start freq; end freq; min freq; max freq; central freq; start to max slope; max to end slope; time to max; mean modulation of central freq; start PF; end PF; min PF; max PF; time to max PF; duration of amplitude gaps; % tonal; % noisy; loc of max difference in call consistency,peak frequency,,SPSS,"DFA, K-means clustering",features,,No,
13/01/2026 14:07:53,rayyan-380414584,Preliminary study on the acoustic communication of captive otters (Lutra lutra),1995,Lutra lutra,Eurasian otter,,Carnivora,Mustelidae,zoo,group,Yes,6,,72,Hand,Yes,8,,,No,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,Yes,
24/12/2025 17:43:50,rayyan-380414596,Quantifying acoustic and temporal characteristics of vocalizations for a group of captive African elephants Loxodonta africana,2003,Loxodonta africana,African elephant,,Proboscidea,Elephantidae,zoo,group,No,8,,983,Hand,Yes,8,,,No,No,,,,,,,,,,,SIGNAL Digital Signal Analysis Language,5,No,duration,,,,,,,mean F0; F0 bandwidth; max F0; min F0; time to max F0; time to min F0,F0,rumbles only,SYSTAT,multi-dimensional scaling,features,based on fundamental frequency contour,No,
19/12/2025 14:06:08,rayyan-380414597,The vocal repertoire in northern white rhinoceros ceratotherium simum cottoni as recorded in the last surviving herd,2008,Ceratotherium simum cottoni,northern white rhinoceros,,Perissodactyla,Rhinocerotidae,zoo,group,No,8,,384,Hand,Yes,11,,,No,No,,,,1024,Hamming,87.5,,,,,Avisoft-SASLab Pro,10,Some,duration,inter unit interval,each unit,,"peak frequency, min frequency, max frequency, bandwidth, Q25, Q50, Q75",,,time to peak,,,STATISTICA,DFA,features,,No,
05/01/2026 07:52:28,rayyan-380414601,"The Communicative Repertoire of Captive Bonobos (Pan Paniscus), Compared To That of Chimpanzees",1988,Pan paniscus,bonobo,,Primates,Hominidae,zoo,group,Yes,10,,1352,Hand,No,12,,,Yes,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
05/01/2026 10:41:46,rayyan-380414614,"Vocal repertoire, individual acoustic distinctiveness, and social networks in a group of captive Asian small-clawed otters (Aonyx cinerea)",2014,Aonyx cinerea,Asian small-clawed otter,,Carnivora,Mustelidae,zoo,group,Yes,10,,1093,Hand,Yes,7,,,Yes,No,,no,,512,,87.5,,,,,Avisoft SASlab,3,No,duration,,,,,,,Fdom; max F0,"F0, dominant frequency",,SPSS,DFA,features,,No,
29/12/2025 22:08:09,rayyan-380414637,Small Mammals Ignore Common Rules: A Comparison of Vocal Repertoires and the Acoustics between Pup and Adult Piebald Shrews Diplomesodon pulchellum,2015,Diplomesodon pulchellum,piebald shrew,,Rodentia,Soricidae,zoo,"group, solitary",Yes,62,,1106,Hand,Yes,8,1,,No,No,,yes,,1024,Hamming,96.87,,,,,Avisoft SASLab Pro,8,Some,duration,,,,"peak amplitude, min frequency, max frequency, bandwidth, Q25, Q50, Q75",,,,,,R,DFA,features,,No,
19/12/2025 07:59:13,rayyan-380414642,Quantitative acoustic analysis of the vocal repertoire of the crowned lemur,2007,Eulemur coronatus,crowned lemur,,Primates,Lemuridae,zoo,group,Unknown,37,,2425,Hand,Yes,10,,,No,No,,yes,,,,,,,,,SoundForge 7,10,Some,duration,,,,,,,mean F0; cumulative variation F0; std F0; min F0; max F0; mean F1; mean F2; mean F3; mean F4,"F0, formants",,not reported,DFA,features,,No,
03/01/2026 00:16:28,rayyan-380414645,Vocalizations and Associated Behaviors of the African Elephant (Loxodonta africana) in Captivity,1983,Loxodonta africana,African elephant,,Proboscidea,Elephantidae,zoo,group,No,9,,207,Hand,Yes,10,,,No,No,,,,,,,,,,,Kay Sona-Graph,4,Some,duration,,,,,,,max freq; fund freq; dominant freq;,"dominant frequency, peak frequency",,N/A,,,,No,
30/12/2025 19:09:28,rayyan-380414657,The reliability of individual vocal signature varies across the bonobo's graded repertoire,2020,Pan paniscus,bonobo,,Primates,Hominidae,zoo,group,No,21,,1850,Hand,No,5,,,Yes,No,,yes,,512,Hanning/Hann,50,,,,,Raven Pro,16,No,duration,,,,,"max/peak frequency, center frequency, 1st quartile frequency, 3rd quartile frequency, 1st quartile time, 3rd quartile time, max time",,max F0; start F0; end F0; time to F0; ascending slope; descending slope; Slope: F0-Start to Midpoint; Slope: F0-Midpoint to End,,,R,pDFA,features,,No,
21/12/2025 20:11:11,rayyan-380414662,Classification of captive North American river otters,2014,Lontra canadensis,North American river otter,,Carnivora,Mustelidae,zoo,"group, solitary",Yes,10,,2726,Hand,Yes,12,1,,Yes,No,4 main types with 7 sub types (for 11 types total in adults),yes,,,,,,,,,Raven Pro,10,No,duration,,,,,"average power, max/peak frequency, max/peak power, center frequency",,max freq; min freq; bandwidth freq; mean freq; number of harmonics,formants,,STATISTICA,DFA,features,,Yes,CC BY 3.0
24/12/2025 17:10:16,rayyan-380414673,Automatic classification and speaker identification of African elephant (Loxodonta africana) vocalizations,2005,Loxodonta africana,African elephant,,Proboscidea,Elephantidae,zoo,group,No,7,,74,"Hand, Automated",Yes,5,,,No,No,,yes,MFCC,,Hamming,33.33,,,,,Real-Time Spectrogram software,,,,,,,,,,,,,HTK 3.1.1,Markov Model,spectrogram,,No,
21/12/2025 11:01:59,rayyan-380414699,The vocal repertoire of the woolly monkey Lagothrix lagothricha,2002,Lagothrix lagothricha,woolly monkey,,Primates,Atelidae,zoo,group,Yes,23,11162,461,Hand,Yes,5,,,No,No,,yes,,512,Hanning/Hann,,,,,,Spectogram; Avisoft-Saslab Light,,,,,,,,,,,,Only 1 call type further analysed,N/A,,,,No,
08/01/2026 07:53:06,rayyan-380414700,Comparative studies on vocalization in marmoset monkeys (Hapalidae),1968,Callithrix jacchus,common marmoset,,Primates,Callitrichidae,zoo,"group, solitary",Yes,56,,,Hand,Yes,11,,,No,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
06/01/2026 12:09:19,rayyan-380414712,"The vocal repertoires of the bush dog (Speothos venaticus), crab-eating fox (Cerdocyon thous), and maned wolf (Chrysocyon brachyurus)",1981,Speothos venaticus,bush dog,,Carnivora,Canidae,zoo,group,Yes,8,,,Hand,Yes,10,2,,Yes,No,,no,,,,,,,,,Kay Missilyzer,,Some,,"unit duration, inter unit interval, number of units",,,,,,number of emphasized harmonics; dominant frequency range,dominant frequency,,N/A,,,,No,
05/01/2026 06:17:35,rayyan-380414722,Vocalizations of Adult Gelada Baboons (Theropithecus gelada): Acoustic Structure and Behavioural Context,1990,Theropithecus gelada,gelada baboon,,Primates,Cercopithecidae,zoo,group,Yes,29,,1859,Hand,Yes,22,,,No,No,,no,,,,,,,,,MC 6800,9,Some,duration,"unit duration, inter unit interval, number of units",,,,,,intercall interval; freq range; dominant freq; pattern of modulation; number of harmonics,"F0, dominant frequency, formants",,N/A,,,,No,
27/10/2025 23:04:26,rayyan-305067467,"Syllable acoustics, temporal patterns, and call composition vary with behavioral context in Mexican free-tailed bats.",2008,Tadarida brasiliensis,Mexican free-tailed bat,,Chiroptera,Molossidae,private,group,Unknown,,,4149,Hand,,16,,,No,No,private colony it seems; number of animlals is approx 60,yes,,,,,Yes,1000,100000,no details about FFts,Avisoft-SASLab Pro,6,Some,duration,,,,"peak frequency, min frequency, max frequency",,,"F0 start, F0 end",F0,,SAS,"DFA, MANOVA",features,,No,
29/10/2025 08:32:28,rayyan-305067503,Vocalizations of South African mustelines.,1977,Poecilogale albinucha,African weasel,,Carnivora,Mustelidae,unclear,group,Unknown,,,,Hand,Yes,9,3,,No,No,recording location unclear,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
29/10/2025 14:37:44,rayyan-305067547,Resting-associated vocalization emitted by captive Asian house shrews (Suncus murinus): acoustic structure and variability in an unusual mammalian vocalization.,2014,Suncus murinus,Asian house shrew,,Eulipotyphla,Soricidae,private,solitary,No,15,,1677,Hand,No,6,,,No,"Yes, preprocessed",captive shrews from breeders/pet ,yes,,512,Hamming,93.75,,,,,Avisoft SASLab-Pro,10,Some,duration,inter unit interval,,,,,,noisy perc; time to peak freq; peak F0; mean F0; start F0; end F0; min F0; max F0,F0,,STATA,,features,"PCA and DFA used, but not for repertoire analysis",Yes,CC BY 4.0
02/01/2026 23:58:24,rayyan-380414659,Differences between vocalization evoked by social stimuli in feral cats and house cats,2011,Felis catus,cat,house cat and feral cat,Carnivora,Felidae,private,solitary,No,38,,2533,Hand,No,4,,,No,No,some tests performed in owners houses,,,512,Hanning/Hann,87.5,,,,,Praat; Raven Pro,4,,,,,,,"max/peak frequency, 1st quartile frequency, 3rd quartile frequency",,fundamental frequency,F0,,N/A,,,,No,
21/12/2025 21:07:14,rayyan-380414709,"Vocalization of captive water mongooses, Atilax paludinosus",1988,Atilax paludinosus,water mongoose,,Carnivora,Mustelidae,unclear,"group, solitary",No,,,143,Hand,Yes,12,2,,Yes,No,,no,,,,,,,,,Kay Sona-Graph,,Some,duration,number of units,,,,,,"max freq; F0; harmonic number, min freq; formants; max freq modulation",F0,,N/A,,,,Yes,CC BY-NC-SA 3.0
12/01/2026 21:36:16,rayyan-380414723,DeepSqueak: a deep learning-based system for detection and analysis of ultrasonic vocalizations,2019,Mus musculus,mouse,B6D2F1,Rodentia,Muridae,N/A,,,,,,Automated,No,,,,No,No,Uses published dataset,,,,,,,,,not reported for the tested dataset,DeepSqueak,4,No,duration,,,,,,,"frequency (each call is reduced 10 segments, shape is defined as the first derivative of the contour at 10 segments,",,,DeepSqueak,"K-means clustering, regional convolutional neural network",features,,No,
15/12/2025 17:20:11,rayyan-380414778,Vocalizations of grasshopper mice (genus Onychomys),1979,Onychomys sp.,grasshopper mouse,,Rodentia,Cricetidae,field,,Yes,,,,Hand,Yes,6,2,,No,No,Unclear where recordings were done,no,,,,,,,,,Kay Sona-Graph,9,Some,duration,,"start, 1/3 of call, 2/3 of call, end",,,,,start freq; freq 1/3/; freq 2/3; end freq; freq 1/3-freq start; freq 2/3-freq 1/3; freq end - freq2/3; freq end - freq start,,,N/A,,,"Analysis of individual, not call type",No,
